,nu-sum,,nu-e,,,nu=mu,,,nu-tau,,,,
log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),,
15.05756999,16.04620186,0.005306367,15.01041158,15.03887357,0.000521758,14.17511197,15.44295416,0.001322969,14.07304441,15.36767882,0.001112434,,
15.04721033,15.64918986,0.002127087,15.02392714,15.62373868,0.002006015,14.12155602,15.48592258,0.001460555,14.01987409,15.41287623,0.001234445,,
15.04203317,15.55134714,0.001698019,15.01875799,15.52436631,0.001595739,14.06820242,15.52860106,0.001611375,13.96690465,15.4586142,0.001371544,,
15.03685779,15.45467652,0.001359164,15.00519744,14.91199497,0.000389574,14.01505039,15.57180779,0.001779931,13.91413535,15.50448791,0.001524345,,
15.0316842,15.35860683,0.001089437,15.01359062,15.43010116,0.001284389,13.96209918,15.61472296,0.0019648,13.86156541,15.55090781,0.001696302,,
15.02651238,15.26258091,0.000873326,14.99174834,14.78010522,0.000287542,13.90934803,15.65816931,0.002171525,13.8091941,15.5970554,0.001886474,,
15.01359062,15.17147557,0.000708062,15.00842503,15.33640838,0.001035151,13.85679619,15.70297876,0.002407544,13.75702065,15.64333993,0.002098628,,
14.95686676,15.20366231,0.000762531,14.99121922,14.70264481,0.000240569,13.80444289,15.74500981,0.002652194,13.70504432,15.68934807,0.002333155,,
14.90035721,15.24516088,0.000838989,15.00326121,15.23886354,0.000826911,13.75228739,15.78798599,0.00292807,13.65326436,15.73590648,0.002597179,,
14.84406116,15.2879821,0.000925929,14.89523058,14.71122466,0.000245369,13.70032895,15.83233192,0.003242854,13.60168004,15.78468413,0.002905893,,
14.78797781,15.33011507,0.001020259,14.85172535,14.76568151,0.000278149,13.64856681,15.87345339,0.003564912,13.55029062,15.83570077,0.003268107,,
14.73210636,15.37236415,0.0011245,14.77068587,14.75361496,0.000270527,13.59700023,15.90922689,0.003870993,13.49909535,15.88562554,0.003666241,,
14.67644599,15.41391672,0.001237406,14.71690535,14.78713247,0.000292232,13.54562849,15.94381966,0.004191941,13.4480935,15.93486728,0.004106414,,
14.62099592,15.45721195,0.001367122,14.66130242,14.82241197,0.000316962,13.49445084,15.97806629,0.004535882,13.39728435,15.98594776,0.00461895,,
14.56575535,15.49940258,0.0015066,14.60590956,14.86247798,0.000347595,13.44346654,16.01534248,0.004942401,13.34666717,16.03550048,0.005177212,,
14.51072348,15.54293793,0.001665457,14.55072599,14.90383129,0.00038232,13.39267487,16.05693929,0.005439197,13.29624122,16.08647935,0.005822035,,
14.45589954,15.58536255,0.001836361,14.49575091,14.94490555,0.000420244,13.3420751,16.10076688,0.006016755,13.2460058,16.13762028,0.006549615,,
14.40128273,15.62955149,0.002033045,14.44098353,14.98372211,0.000459534,13.29166651,16.14428838,0.006650952,13.19596017,16.18764315,0.007349175,,
14.34687227,15.67262581,0.002245025,14.38642308,15.02224334,0.000502156,13.24771524,16.18353304,0.007279952,13.14610362,16.23910569,0.008273726,,
14.29266738,15.71623327,0.002482154,14.33206876,15.06046645,0.000548355,13.15334376,16.18547216,0.007312529,13.09643544,16.29030227,0.009308886,,
14.23866729,15.7591309,0.002739847,14.2779198,15.09838867,0.00059839,13.10545204,16.22510896,0.008011326,13.04695491,16.34036751,0.010446311,,
14.18487122,15.80381252,0.003036743,14.22397543,15.13401169,0.000649542,13.05593744,16.26810856,0.008845126,12.99766133,16.38151252,0.011484391,,
14.1312784,15.84736709,0.003357087,14.17023487,15.16931873,0.000704554,13.00660992,16.30864156,0.009710398,12.94855399,16.41756513,0.012478449,,
14.07788806,15.89146075,0.003715833,14.11669735,15.2051091,0.000765076,12.95746877,16.34539583,0.010567963,12.89963218,16.45456489,0.01358815,,
14.02469944,15.93525688,0.0041101,14.0633621,15.24058201,0.00083019,12.90851328,16.38093699,0.011469182,12.85089521,16.49077828,0.01476977,,
13.97171177,15.97959508,0.004551877,14.01022836,15.27533204,0.000899347,12.85974276,16.41698834,0.012461887,12.80234237,16.52794303,0.01608935,,
13.91892431,16.02278904,0.005027875,13.95729537,15.30572093,0.000964531,12.8111565,16.45268517,0.013529465,12.75397298,16.56431791,0.017494977,,
13.86633628,16.06525245,0.005544315,13.90456237,15.34466533,0.00105502,12.7627538,16.48932924,0.014720573,12.70578633,16.60208619,0.019084538,,
13.81394694,16.10867794,0.00612736,13.8520286,15.37316507,0.001126576,12.71453398,16.52605493,0.016019553,12.65778174,16.63862424,0.020759635,,
13.76175553,16.15094307,0.00675365,13.79969332,15.40009325,0.00119864,12.66649634,16.56286241,0.017436442,12.60995852,16.67568245,0.022608821,,
13.70976131,16.19417315,0.007460512,13.74755576,15.42666179,0.001274258,12.61864019,16.59843872,0.018924926,12.56231598,16.71238248,0.024602426,,
13.65796354,16.23709076,0.008235429,13.6956152,15.45246119,0.001352249,12.57096486,16.63496875,0.020585632,12.51485345,16.75004665,0.026831324,,
13.60636146,16.28012211,0.009093217,13.64387087,15.47912008,0.001437856,12.52346964,16.67157918,0.022396216,12.46757024,16.78735302,0.029238055,,
13.55495435,16.32412841,0.010062917,13.59232204,15.50705167,0.001533371,12.47615388,16.70959202,0.024444856,12.42046567,16.82474247,0.031866762,,
13.50374146,16.36652723,0.011094882,13.54096797,15.53257591,0.00162619,12.42901688,16.7454835,0.026550882,12.37353907,16.86221521,0.034738468,,
13.45272206,16.41076709,0.012284643,13.48980792,15.55937302,0.001729691,12.38205797,16.78233715,0.028902313,12.32678976,16.89308802,0.037297823,,
13.40189542,16.45425872,0.013578574,13.43884117,15.58580535,0.001838234,12.33527648,16.81661097,0.031275656,12.28021709,16.92357108,0.040009814,,
13.35126082,16.49830066,0.015027825,13.38806697,15.61351772,0.001959355,12.28867174,16.85006609,0.033780148,12.23382037,16.953215,0.042836153,,
13.30081752,16.54071568,0.016569566,13.33748461,15.64210431,0.002092665,12.24224308,16.88136182,0.036304234,12.18759895,16.9833587,0.045914955,,
13.2505648,16.58630112,0.018403337,13.28709336,15.67074324,0.002235315,12.19598983,16.90914814,0.038702908,12.14155215,17.013556,0.049221116,,
13.20050195,16.62981941,0.020342994,13.2368925,15.6998486,0.002390254,12.14991134,16.93653357,0.041221998,12.09567934,17.04425643,0.052826507,,
13.15062824,16.66861611,0.022243933,13.1868813,15.72817849,0.002551373,12.10400694,16.96396336,0.043909533,12.04997983,17.07456201,0.056644464,,
